theme	level	target	surface	page	sidebar	style	backdrop
doubao-snack-giggle	40	doubao	0.4	rgba(28,21,25,0.22000001)	rgba(28,21,25,0.3)	1	0
doubao-snack-giggle	40	doubao-work	0.4	rgba(255,248,237,0.22000001)	rgba(255,250,242,0.3)	1	0
doubao-snack-giggle	default	doubao	0.52	rgba(28,21,25,0.28599998)	rgba(28,21,25,0.39)	1	0
doubao-snack-giggle	default	doubao-work	0.52	rgba(255,248,237,0.28599998)	rgba(255,250,242,0.39)	1	0
doubao-snack-giggle	100	doubao	1	rgba(28,21,25,0.55)	rgba(28,21,25,0.75)	1	0
doubao-snack-giggle	100	doubao-work	1	rgba(255,248,237,0.55)	rgba(255,250,242,0.75)	1	0
gallery-whale-maid	40	doubao	0.4	rgba(18,20,25,0.22000001)	rgba(18,20,25,0.3)	1	0
gallery-whale-maid	40	doubao-work	0.4	rgba(189,153,153,0.22000001)	rgba(255,255,255,0.3)	1	0
gallery-whale-maid	default	doubao	0.68	rgba(18,20,25,0.374)	rgba(18,20,25,0.51)	1	0
gallery-whale-maid	default	doubao-work	0.68	rgba(189,153,153,0.374)	rgba(255,255,255,0.51)	1	0
gallery-whale-maid	100	doubao	1	rgba(18,20,25,0.55)	rgba(18,20,25,0.75)	1	0
gallery-whale-maid	100	doubao-work	1	rgba(189,153,153,0.55)	rgba(255,255,255,0.75)	1	0
qq-light-blue	40	doubao	0.4	rgba(18,20,25,0.22000001)	rgba(18,20,25,0.3)	1	0
qq-light-blue	40	doubao-work	0.4	rgba(242,247,253,0.22000001)	rgba(255,255,255,0.3)	1	0
qq-light-blue	default	doubao	0.68	rgba(18,20,25,0.374)	rgba(18,20,25,0.51)	1	0
qq-light-blue	default	doubao-work	0.68	rgba(242,247,253,0.374)	rgba(255,255,255,0.51)	1	0
qq-light-blue	100	doubao	1	rgba(18,20,25,0.55)	rgba(18,20,25,0.75)	1	0
qq-light-blue	100	doubao-work	1	rgba(242,247,253,0.55)	rgba(255,255,255,0.75)	1	0
